"Scenario","Species","Group","Item","Mean","StDev","Lower95","Upper95"
"Current","Sheep","Overall","Feed Cost",62205053487.253,5933501007.54393,50926043807.4565,74053523856.1573
"Current","Sheep","Overall","Gross Margin",12977808280.0938,28296847180.6619,-42075628131.0662,67797348524.4897
"Current","Sheep","Overall","Health Cost",7362299514.57955,769520309.194604,5943522753.61758,8989848206.35662
"Current","Sheep","Overall","Labour Cost",12370517097.7927,880234439.370355,10630616259.2867,14088570109.8032
"Current","Sheep","Overall","Population",4659166.16535285,69542.9615338709,4523694.23873766,4798272.89703756
"Current","Sheep","Overall","Value of Herd Increase",-11029768188.5776,8823982236.67666,-28129691405.6371,6606751574.86712
"Current","Sheep","Overall","Value of Manure",2750285448.84548,87164125.4369799,2601202230.3847,2904168064.16113
"Current","Sheep","Overall","Value of Milk",51748255.3121707,27853958.3507567,14551970.9851442,119910691.828902
"Current","Sheep","Overall","Value of Offtake",103143412864.139,23762267435.1777,56472122563.525,149607978216.405
"Current","Sheep","Subadult","Feed Cost",11005379041.844,1096102082.21649,8904064948.06011,13194050590.5758
"Current","Sheep","Subadult","Gross Margin",-17299125916.37,2332380468.7163,-21957573358.205,-12830350781.7746
"Current","Sheep","Subadult","Health Cost",812447862.610439,90617222.4758044,644642462.821976,1002229795.37218
"Current","Sheep","Subadult","Labour Cost",1361261868.05956,102901265.819801,1160247979.34795,1562991840.86091
"Current","Sheep","Subadult","Population",752839.925294342,14253.0356831736,725153.062363489,780846.470329093
"Current","Sheep","Subadult","Value of Herd Increase",-19953551865.8479,5575614417.58442,-31149426180.7859,-9262939617.82372
"Current","Sheep","Subadult","Value of Manure",404446247.518274,13584263.0869127,379171328.352951,430705325.941917
"Current","Sheep","Subadult","Value of Offtake",15429068474.4736,4943870643.21469,5654018512.11402,25283183466.3171
"Current","Sheep","Subadult Female","Feed Cost",5771630396.58113,822874778.78088,4248555449.72498,7418367873.74664
"Current","Sheep","Subadult Female","Gross Margin",-11762250080.7324,2094669659.22,-15838020434.0546,-7692486899.06034
"Current","Sheep","Subadult Female","Health Cost",441313509.656161,69146895.1460013,318676557.448451,587718288.766223
"Current","Sheep","Subadult Female","Labour Cost",741267100.759846,78043534.805377,585821640.298106,891810076.615572
"Current","Sheep","Subadult Female","Population",413776.17571971,7886.28254847016,398660.711355489,429269.556796897
"Current","Sheep","Subadult Female","Value of Herd Increase",-8015739616.67334,3030513857.14095,-13820589006.5191,-2168048915.69101
"Current","Sheep","Subadult Female","Value of Manure",220506712.287421,10050158.4508021,203417146.30879,237689421.325331
"Current","Sheep","Subadult Female","Value of Offtake",2987193830.65067,1144044238.42279,818190130.340708,5198432121.45681
"Current","Sheep","Subadult Male","Feed Cost",5233748645.26286,728264514.455932,3823792552.75694,6723167392.71306
"Current","Sheep","Subadult Male","Gross Margin",-5536875835.63757,973255751.302192,-7383900679.20424,-3579544899.15107
"Current","Sheep","Subadult Male","Health Cost",371134352.954278,57645891.5289204,266619880.333267,493721603.233906
"Current","Sheep","Subadult Male","Labour Cost",619994767.299711,65184966.2547371,496155405.917082,745688825.723116
"Current","Sheep","Subadult Male","Population",339063.749574632,7739.91820550852,324118.756836874,354111.367972863
"Current","Sheep","Subadult Male","Value of Herd Increase",-11937812249.1745,4590073847.38089,-21205743912.8308,-2942115633.58363
"Current","Sheep","Subadult Male","Value of Manure",183939535.230853,8574790.5377731,169728015.923307,198979141.705454
"Current","Sheep","Subadult Male","Value of Offtake",12441874643.823,4778237281.39269,3109427717.91118,22037858336.194
"Ideal","Both","Adult","Feed Cost",84149654321.538,7777723617.21893,69390979039.3007,99705820325.468
"Ideal","Both","Adult","Gross Margin",228844715526.486,61924769664.3446,106931187457.081,351513985102.13
"Ideal","Both","Adult","Health Cost",0,0,0,0
"Ideal","Both","Adult","Labour Cost",16450138864.1411,1091931841.59119,14317960760.6796,18592915230.6402
"Ideal","Both","Adult","Population",7098376.48275717,140321.626377937,6833645.72878996,7381276.6384763
"Ideal","Both","Adult","Value of Herd Increase",172562852898.894,31383244567.2606,112442777077.248,235255587752.754
"Ideal","Both","Adult","Value of Manure",4115694900.10825,122256548.019685,3889237205.22716,4346329659.55677
"Ideal","Both","Adult","Value of Offtake",146882206468.293,33332318036.3677,82093221626.41,213616700731.532
"Ideal","Both","Adult Female","Feed Cost",69575890884.9769,7626772802.3306,54892533508.8025,84882925919.8093
"Ideal","Both","Adult Female","Gross Margin",57307908182.8933,30943479249.9839,-3569589041.57105,116964410859.761
"Ideal","Both","Adult Female","Health Cost",0,0,0,0
"Ideal","Both","Adult Female","Labour Cost",13832337258.6983,1059940085.53369,11746173054.8368,15891567014.4287
"Ideal","Both","Adult Female","Population",5709789.48217772,81830.2286774233,5557024.48786408,5876081.00408902
"Ideal","Both","Adult Female","Value of Herd Increase",88078139337.5813,20023402809.2948,49859722782.4326,128375539418.628
"Ideal","Both","Adult Female","Value of Manure",3461590715.05437,115343584.425437,3244256012.93576,3673016907.64561
"Ideal","Both","Adult Female","Value of Offtake",43292651829.0633,11098818110.7268,21725399994.5591,65320321004.1316
"Ideal","Both","Adult Male","Feed Cost",14573763436.5612,1580485411.26832,11532249129.6295,17698760954.042
"Ideal","Both","Adult Male","Gross Margin",171536807343.593,52985942683.2718,67345744550.7039,277619414838.397
"Ideal","Both","Adult Male","Health Cost",0,0,0,0
"Ideal","Both","Adult Male","Labour Cost",2617801605.4428,224858254.879364,2190248385.05367,3059910879.49145
"Ideal","Both","Adult Male","Population",1388587.00057945,79587.462057514,1236330.86453757,1544158.96093277
"Ideal","Both","Adult Male","Value of Herd Increase",84484713561.3129,23137372134.2218,40671120863.3541,132107683981.32
"Ideal","Both","Adult Male","Value of Manure",654104185.053881,31601785.4984052,595231589.845848,718615822.904572
"Ideal","Both","Adult Male","Value of Offtake",103589554639.23,31423446999.3855,42983214708.5479,167006353855.235
