"Value","n","Type","Scenario","Species","Parameter"
0.0783942119209433,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0785322565806716,8,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0786703012403999,8,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0788083459001283,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0789463905598566,3,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0790844352195849,8,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0792224798793133,8,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0793605245390416,7,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0794985691987699,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0796366138584983,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0797746585182266,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0799127031779549,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0800507478376833,2,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0801887924974116,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0803268371571399,3,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0804648818168683,2,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0806029264765966,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0807409711363249,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0808790157960533,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0810170604557816,2,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0811551051155099,3,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0812931497752383,1,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0814311944349666,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0815692390946949,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0817072837544233,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0818453284141516,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0819833730738799,4,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0821214177336083,6,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0822594623933366,3,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0826735963725216,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0828116410322499,3,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0829496856919782,1,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0830877303517066,2,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0832257750114349,5,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0833638196711632,1,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0835018643308916,2,"Distribution","PPR","Sheep","annual_inc_SA_J"
0.0836399089906199,1,"Distribution","PPR","Sheep","annual_inc_SA_J"
